code,pref,city,寄附件数,寄附金額,寄附件数_県外,寄附金額_県外,返礼品等の調達に係る費用,返礼品等の送付に係る費用,広報に係る費用,決済等に係る費用,事務に係る費用,その他費用,広報活動,呼びかけ,見直し,イベントPR,決済,用途選択肢,分野,事業,クラウドファンディング,まちづくり・市民活動,スポーツ・文化振興,健康・医療・福祉,環境・衛生,教育・人づくり,子ども・子育て,地域・産業振興,観光・交流・定住促進,安心・安全・防災,災害支援・復興
11002,北海道,札幌市,2240,456498928,1971,152407288,5832232,2547574,626994,449006,49050,12960,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1
12025,北海道,函館市,43753,579858782,43731,578548782,170738610,93315640,0,38513554,8353934,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0
12033,北海道,小樽市,7346,152107270,7314,136765320,39009000,10865058,880000,1366561,2707012,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12041,北海道,旭川市,81238,1313436740,80996,1279668006,380109521,59678465,6099360,6705821,195241526,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
12050,北海道,室蘭市,1191,22729000,1190,22719000,4860234,1029750,0,147088,672210,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0
12068,北海道,釧路市,40251,1025393320,40244,1025023320,300379060,55749204,0,4142920,148314889,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0
12076,北海道,帯広市,2716,74472679,2707,72667679,19776970,0,0,709038,8873746,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0
12084,北海道,北見市,18870,249187500,18866,249057500,73276839,34200841,0,1683473,10615401,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
12092,北海道,夕張市,15382,379645200,15381,37145200,60625201,33079285,0,2698684,6244005,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0
12106,北海道,岩見沢市,40324,749744515,40290,744914015,209746289,131663780,234378,7308250,64863904,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0
12114,北海道,網走市,39913,1320424139,39902,1304908715,384067708,75622551,5725202,8147735,177118127,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0
12122,北海道,留萌市,18044,281252000,18039,280690000,62549980,29253913,0,9766,39714957,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0
12131,北海道,苫小牧市,29141,462451500,29138,462398500,132915925,66368402,49050,7150813,13873545,1041810,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
12149,北海道,稚内市,139892,2106439000,139882,2106324000,631965004,222541861,403190,1138840,173995674,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0
12157,北海道,美唄市,8618,99462000,8618,99462000,29625000,8998586,33000,284501,15327943,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
12165,北海道,芦別市,3022,571197878,3016,570025000,163157312,0,0,5976972,58366720,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
12173,北海道,江別市,12095,130515448,12078,125448528,37163763,18597335,0,1645513,5707373,144632,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
12181,北海道,赤平市,25571,604969068,25571,604969068,161160939,58418581,5681300,3459782,70028579,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12190,北海道,紋別市,448803,7737694959,448803,7737694959,2328476421,1063978761,693000,17157072,456418746,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0
12203,北海道,士別市,1951,63258000,1949,63228000,15280546,6611353,0,389329,1797108,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0
