code,pref,city,寄附件数,寄附金額,寄附件数_県外,寄附金額_県外,返礼品等の調達に係る費用,返礼品等の送付に係る費用,広報に係る費用,決済等に係る費用,事務に係る費用,その他費用,広報活動,呼びかけ,見直し,イベントPR,決済,用途選択肢,分野,事業,クラウドファンディング,まちづくり・市民活動,スポーツ・文化振興,健康・医療・福祉,環境・衛生,教育・人づくり,子ども・子育て,地域・産業振興,観光・交流・定住促進,安心・安全・防災,災害支援・復興
010006,北海道,,324 ,"8,209,191 ",199 ,"3,829,005 ","291,254 ","181,076 ","54,960 ","159,720 ","246,944 ",0 ,○,,○,○,○,①,,○,○,,,,,,,,,,
011002,北海道,札幌市,"2,240 ","456,498,928 ","1,971 ","152,407,288 ","5,832,232 ","2,547,574 ","626,994 ","449,006 ","49,050 ","12,960 ",○,○,○,○,,①,○,,,○,○,○,○,○,○,○,○,,○
012025,北海道,函館市,"43,753 ","579,858,782 ","43,731 ","578,548,782 ","170,738,610 ","93,315,640 ",0 ,"38,513,554 ","8,353,934 ",0 ,○,○,○,,○,①,○,,,○,,○,,○,○,○,○,○,
012033,北海道,小樽市,"7,346 ","152,107,270 ","7,314 ","136,765,320 ","39,009,000 ","10,865,058 ","880,000 ","1,366,561 ","2,707,012 ",0 ,○,○,○,,,①,,○,,,,,,,,,,,
012041,北海道,旭川市,"81,238 ","1,313,436,740 ","80,996 ","1,279,668,006 ","380,109,521 ","59,678,465 ","6,099,360 ","6,705,821 ","195,241,526 ",0 ,○,○,○,○,○,①,○,○,,○,○,○,○,○,○,○,○,,
012050,北海道,室蘭市,"1,191 ","22,729,000 ","1,190 ","22,719,000 ","4,860,234 ","1,029,750 ",0 ,"147,088 ","672,210 ",0 ,○,○,○,,○,①,○,,,,○,○,,,○,,○,○,
012068,北海道,釧路市,"40,251 ","1,025,393,320 ","40,244 ","1,025,023,320 ","300,379,060 ","55,749,204 ",0 ,"4,142,920 ","148,314,889 ",0 ,,○,,,○,①,○,,,○,○,○,,○,○,○,,,
012076,北海道,帯広市,"2,716 ","74,472,679 ","2,707 ","72,667,679 ","19,776,970 ",0 ,0 ,"709,038 ","8,873,746 ",0 ,○,○,○,○,○,①,○,,,,○,○,○,○,○,○,○,,
012084,北海道,北見市,"18,870 ","249,187,500 ","18,866 ","249,057,500 ","73,276,839 ","34,200,841 ",0 ,"1,683,473 ","10,615,401 ",0 ,○,○,○,,○,①,○,,,○,○,○,,,,,,,
012092,北海道,夕張市,"15,382 ","379,645,200 ","15,381 ","37,145,200 ","60,625,201 ","33,079,285 ",0 ,"2,698,684 ","6,244,005 ",0 ,○,○,○,,○,①,○,,,○,○,○,,○,○,○,,,
012106,北海道,岩見沢市,"40,324 ","749,744,515 ","40,290 ","744,914,015 ","209,746,289 ","131,663,780 ","234,378 ","7,308,250 ","64,863,904 ",0 ,○,,○,,○,①,○,,,○,○,○,,○,○,○,○,○,
012114,北海道,網走市,"39,913 ","1,320,424,139 ","39,902 ","1,304,908,715 ","384,067,708 ","75,622,551 ","5,725,202 ","8,147,735 ","177,118,127 ",0 ,○,○,○,○,,①,○,,,○,○,○,,○,○,○,,○,
012122,北海道,留萌市,"18,044 ","281,252,000 ","18,039 ","280,690,000 ","62,549,980 ","29,253,913 ",0 ,"9,766 ","39,714,957 ",0 ,,○,○,,,①,○,,,○,,○,○,○,○,○,,,
012131,北海道,苫小牧市,"29,141 ","462,451,500 ","29,138 ","462,398,500 ","132,915,925 ","66,368,402 ","49,050 ","7,150,813 ","13,873,545 ","1,041,810 ",,○,,,○,①,○,,,○,,,,,○,○,○,,
012149,北海道,稚内市,"139,892 ","2,106,439,000 ","139,882 ","2,106,324,000 ","631,965,004 ","222,541,861 ","403,190 ","1,138,840 ","173,995,674 ",0 ,○,,○,○,○,①,○,○,○,,○,○,○,○,○,○,,,
012157,北海道,美唄市,"8,618 ","99,462,000 ","8,618 ","99,462,000 ","29,625,000 ","8,998,586 ","33,000 ","284,501 ","15,327,943 ",0 ,○,○,○,○,○,①,○,,,○,○,○,○,○,○,○,○,○,
012165,北海道,芦別市,"3,022 ","571,197,878 ","3,016 ","570,025,000 ","163,157,312 ",0 ,0 ,"5,976,972 ","58,366,720 ",0 ,○,○,○,○,○,②,,,,,,,,,,,,,
012173,北海道,江別市,"12,095 ","130,515,448 ","12,078 ","125,448,528 ","37,163,763 ","18,597,335 ",0 ,"1,645,513 ","5,707,373 ","144,632 ",○,,○,○,○,①,○,,,○,○,○,○,○,○,○,○,○,○
012181,北海道,赤平市,"25,571 ","604,969,068 ","25,571 ","604,969,068 ","161,160,939 ","58,418,581 ","5,681,300 ","3,459,782 ","70,028,579 ",0 ,○,○,○,,○,①,,○,,,,,,,,,,,
012190,北海道,紋別市,"448,803 ","7,737,694,959 ","448,803 ","7,737,694,959 ","2,328,476,421 ","1,063,978,761 ","693,000 ","17,157,072 ","456,418,746 ",0 ,○,○,○,○,○,①,○,,,○,,○,○,○,○,○,○,,
012203,北海道,士別市,"1,951 ","63,258,000 ","1,949 ","63,228,000 ","15,280,546 ","6,611,353 ",0 ,"389,329 ","1,797,108 ",0 ,○,○,○,,○,①,○,,,○,,○,○,,○,○,○,,
012211,北海道,名寄市,"4,447 ","49,122,000 ","4,446 ","49,112,000 ","12,244,032 ","6,286,792 ",0 ,"352,763 ","11,822,577 ",0 ,○,○,○,○,○,①,○,,,,○,○,,○,○,○,,,
012220,北海道,三笠市,"22,363 ","260,050,000 ","22,363 ","260,050,000 ","30,327,207 ","5,112,348 ","198,000 ","22,434,997 ","4,243,080 ",0 ,○,,○,,○,①,○,○,,○,○,○,○,○,○,○,○,○,
012238,北海道,根室市,"413,575 ","6,589,106,736 ","413,569 ","6,588,749,760 ","1,732,346,505 ","1,168,819,179 ","360,566,767 ","46,811,977 ","13,214,960 ",0 ,○,,,○,○,①,○,○,○,○,○,○,○,○,○,○,○,○,○
012246,北海道,千歳市,"69,641 ","1,667,487,000 ","69,641 ","1,667,487,000 ","450,477,958 ","127,192,026 ","7,114,131 ","28,637,388 ","202,395,606 ",0 ,○,○,○,○,○,①,○,○,,○,○,○,○,○,○,○,○,○,○
012254,北海道,滝川市,"56,438 ","1,046,326,000 ","56,438 ","1,046,326,000 ","302,552,916 ","105,492,505 ",0 ,"2,678,438 ","55,880,029 ",0 ,○,,○,○,,①,○,,,○,○,○,○,○,○,○,,,
012262,北海道,砂川市,"7,791 ","514,953,934 ","7,779 ","494,291,734 ","142,920,556 ","9,975,441 ",0 ,"7,593,772 ","26,601,072 ","229,236 ",○,○,○,,○,①,○,,,○,,○,,○,○,,,,
012271,北海道,歌志内市,356 ,"5,737,000 ",356 ,"5,737,000 ","1,388,300 ","462,392 ",0 ,"93,768 ","49,050 ","59,400 ",○,,○,○,○,①,○,,,○,,,,,○,○,,,
012289,北海道,深川市,"13,149 ","371,804,233 ","13,148 ","371,790,233 ","102,597,067 ","57,622,978 ","108,500 ","1,761,821 ","23,546,561 ",0 ,○,○,○,,○,①,○,,,○,○,,,,○,○,,,
012297,北海道,富良野市,"3,324 ","61,510,000 ","3,324 ","61,510,000 ","13,769,891 ","4,734,232 ",0 ,"350,458 ","4,802,054 ",0 ,○,,○,,○,①,○,,,,,○,,○,○,○,,,
012301,北海道,登別市,"40,466 ","664,659,000 ","40,465 ","664,649,000 ","141,658,054 ","46,299,872 ","3,356,078 ","2,197,144 ","79,360,148 ","149,170 ",○,○,○,,○,①,○,,,○,○,○,○,○,○,○,○,○,
012319,北海道,恵庭市,"41,443 ","775,473,200 ","41,432 ","773,100,000 ","206,324,865 ","69,191,912 ",0 ,"1,815,855 ","80,044,143 ",0 ,○,○,○,,○,①,○,,,○,○,○,,○,○,○,,,
012335,北海道,伊達市,"3,304 ","56,169,000 ","3,303 ","56,159,000 ","16,631,375 ","6,966,120 ",0 ,"735,335 ","6,651,654 ",0 ,○,,○,,,①,○,,,,,○,,,○,,,,
012343,北海道,北広島市,"7,015 ","123,764,000 ","7,015 ","123,764,000 ","36,756,935 ","5,763,842 ",0 ,"977,802 ","4,492,874 ",0 ,,,○,○,,①,○,,,○,○,○,○,○,,○,,,○
012351,北海道,石狩市,"5,389 ","137,517,000 ","4,995 ","127,852,000 ","41,200,000 ","11,572,500 ","1,205,400 ","1,072,666 ","13,656,885 ",0 ,○,○,○,○,○,①,○,,,,,○,○,,○,,,,
012360,北海道,北斗市,"4,649 ","60,187,000 ","4,649 ","60,187,000 ","16,769,802 ","6,267,207 ","385,000 ","3,827,248 ","4,512,209 ","53,548 ",,,○,○,○,①,○,,,○,,○,,○,○,○,○,,
013030,北海道,当別町,"108,098 ","1,291,813,992 ","107,992 ","1,290,110,000 ","375,232,500 ","160,696,200 ","2,202,700 ","4,762,248 ","100,618,818 ",0 ,○,,○,○,○,②,,,,,,,,,,,,,
013048,北海道,新篠津村,"3,115 ","145,043,000 ","3,115 ","145,043,000 ","20,256,545 ","10,393,938 ",0 ,"7,422,185 ","22,448,559 ",0 ,○,,○,,○,①,○,,,,,○,,○,○,,○,,
013315,北海道,松前町,657 ,"15,072,080 ",657 ,"15,072,080 ","3,912,000 ","1,342,564 ",0 ,"156,380 ","1,633,057 ",0 ,○,○,○,○,,①,○,,,○,○,,,○,,○,○,,
013323,北海道,福島町,603 ,"8,769,760 ",602 ,"8,759,760 ","1,887,378 ","777,613 ",0 ,"133,066 ","1,223,175 ",0 ,○,○,○,,○,①,○,,,○,○,○,,,,○,○,,
013331,北海道,知内町,"1,680 ","40,354,000 ","1,680 ","40,354,000 ","14,770,951 ","1,375,900 ",0 ,"1,599,741 ","5,048,572 ",0 ,○,○,○,,,①,○,,,,○,,,,,○,,,
013340,北海道,木古内町,128 ,"4,680,949 ",128 ,"4,680,949 ","664,079 ","98,358 ",0 ,"36,085 ","159,936 ",0 ,○,,○,,,①,○,,,,,○,○,○,○,○,,,
013374,北海道,七飯町,"1,935 ","42,289,200 ","1,935 ","42,289,200 ","15,674,701 ","1,279,387 ",0 ,"205,248 ","3,293,329 ",0 ,○,,○,,,①,○,,,○,○,○,,,○,,○,,
013439,北海道,鹿部町,"33,130 ","433,357,500 ","33,130 ","433,357,500 ","117,816,983 ","43,080,847 ","196,047 ","2,096,845 ","49,592,562 ",0 ,○,,○,,○,①,○,,,,○,○,○,○,○,○,,○,
013455,北海道,森町,"74,969 ","1,604,762,000 ","74,969 ","1,604,762,000 ","430,141,128 ","126,448,448 ",0 ,0 ,"217,722,010 ",0 ,○,,○,,○,②,,,,,,,,,,,,,
013463,北海道,八雲町,"151,920 ","2,456,240,000 ","151,918 ","2,455,840,000 ","640,487,176 ","210,452,574 ",0 ,"281,909 ","319,876,950 ","1,028,764 ",○,○,○,○,○,①,○,○,,○,○,○,○,○,○,○,○,○,
013471,北海道,長万部町,"5,465 ","80,940,000 ","5,465 ","80,940,000 ","24,239,300 ","7,978,148 ",0 ,"6,015,824 ",0 ,0 ,○,○,○,○,○,①,○,,,○,○,○,○,○,○,○,○,,
013617,北海道,江差町,"4,810 ","62,694,000 ","4,810 ","62,694,000 ","18,639,816 ","7,302,917 ",0 ,0 ,"11,525,689 ",0 ,○,○,○,○,○,①,○,,,○,○,○,○,○,○,○,○,○,
